,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
757,Connecticut,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),246,7.1
758,Connecticut,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),54,1.5
759,Connecticut,2003,Drug-induced causes,All other drug-induced causes,31,0.9
761,Connecticut,2003,Alcohol-induced causes,All other alcohol-induced causes,174,5.0
763,Connecticut,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),274,7.8
764,Connecticut,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),40,1.1
766,Connecticut,2004,Drug-induced causes,All other drug-induced causes,27,0.8
767,Connecticut,2004,Alcohol-induced causes,All other alcohol-induced causes,180,5.1
769,Connecticut,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),251,7.2
770,Connecticut,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,0.7
772,Connecticut,2005,Drug-induced causes,All other drug-induced causes,57,1.6
773,Connecticut,2005,Alcohol-induced causes,All other alcohol-induced causes,182,5.2
775,Connecticut,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),347,9.9
776,Connecticut,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),45,1.3
778,Connecticut,2006,Drug-induced causes,All other drug-induced causes,51,1.4
779,Connecticut,2006,Alcohol-induced causes,All other alcohol-induced causes,183,5.2
781,Connecticut,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),357,10.1
782,Connecticut,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,1.2
783,Connecticut,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.9
785,Connecticut,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.6
786,Connecticut,2007,Alcohol-induced causes,All other alcohol-induced causes,192,5.4
788,Connecticut,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),336,9.5
789,Connecticut,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),35,1.0
792,Connecticut,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.6
793,Connecticut,2008,Alcohol-induced causes,All other alcohol-induced causes,207,5.8
795,Connecticut,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),320,9.0
796,Connecticut,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),51,1.4
797,Connecticut,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,0.6
799,Connecticut,2009,Alcohol-induced causes,All other alcohol-induced causes,205,5.8
801,Connecticut,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),298,8.3
802,Connecticut,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),45,1.3
803,Connecticut,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.6
804,Connecticut,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.6
805,Connecticut,2010,Alcohol-induced causes,All other alcohol-induced causes,170,4.8
807,Connecticut,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),340,9.5
808,Connecticut,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),51,1.4
812,Connecticut,2011,Alcohol-induced causes,All other alcohol-induced causes,170,4.7
814,Connecticut,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),375,10.4
815,Connecticut,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),50,1.4
818,Connecticut,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",21,0.6
819,Connecticut,2012,Alcohol-induced causes,All other alcohol-induced causes,166,4.6
821,Connecticut,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),507,14.1
822,Connecticut,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),58,1.6
825,Connecticut,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",36,1.0
826,Connecticut,2013,Alcohol-induced causes,All other alcohol-induced causes,245,6.8
828,Connecticut,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),554,15.4
829,Connecticut,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),61,1.7
831,Connecticut,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",36,1.0
832,Connecticut,2014,Alcohol-induced causes,All other alcohol-induced causes,267,7.4
834,Connecticut,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),720,20.1
835,Connecticut,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),66,1.8
837,Connecticut,2015,Drug-induced causes,All other drug-induced causes,27,0.8
838,Connecticut,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",47,1.3
839,Connecticut,2015,Alcohol-induced causes,All other alcohol-induced causes,294,8.2
841,Connecticut,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),881,24.6
842,Connecticut,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),78,2.2
844,Connecticut,2016,Drug-induced causes,All other drug-induced causes,26,0.7
845,Connecticut,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",44,1.2
846,Connecticut,2016,Alcohol-induced causes,All other alcohol-induced causes,292,8.2
848,Connecticut,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1007,28.1
849,Connecticut,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),61,1.7
850,Connecticut,2017,Drug-induced causes,All other drug-induced causes,31,0.9
851,Connecticut,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",38,1.1
852,Connecticut,2017,Alcohol-induced causes,All other alcohol-induced causes,316,8.8
854,Delaware,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),42,5.4
855,Delaware,1999,Alcohol-induced causes,All other alcohol-induced causes,61,7.9
857,Delaware,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),39,5.0
858,Delaware,2000,Alcohol-induced causes,All other alcohol-induced causes,51,6.5
860,Delaware,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),39,4.9
862,Delaware,2001,Alcohol-induced causes,All other alcohol-induced causes,68,8.5
864,Delaware,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),65,8.1
866,Delaware,2002,Alcohol-induced causes,All other alcohol-induced causes,76,9.4
868,Delaware,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),59,7.2
871,Delaware,2003,Alcohol-induced causes,All other alcohol-induced causes,65,7.9
873,Delaware,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),42,5.1
875,Delaware,2004,Drug-induced causes,All other drug-induced causes,29,3.5
876,Delaware,2004,Alcohol-induced causes,All other alcohol-induced causes,53,6.4
878,Delaware,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),49,5.8
880,Delaware,2005,Alcohol-induced causes,All other alcohol-induced causes,58,6.9
882,Delaware,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),60,7.0
884,Delaware,2006,Alcohol-induced causes,All other alcohol-induced causes,58,6.7
886,Delaware,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),69,7.9
889,Delaware,2007,Alcohol-induced causes,All other alcohol-induced causes,52,6.0
891,Delaware,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),97,11.0
894,Delaware,2008,Alcohol-induced causes,All other alcohol-induced causes,66,7.5
896,Delaware,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),102,11.4
897,Delaware,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),23,2.6
899,Delaware,2009,Alcohol-induced causes,All other alcohol-induced causes,66,7.4
901,Delaware,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),117,13.0
904,Delaware,2010,Alcohol-induced causes,All other alcohol-induced causes,68,7.6
906,Delaware,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),119,13.1
907,Delaware,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),23,2.5
909,Delaware,2011,Alcohol-induced causes,All other alcohol-induced causes,55,6.1
911,Delaware,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),111,12.1
912,Delaware,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,2.3
913,Delaware,2012,Alcohol-induced causes,All other alcohol-induced causes,54,5.9
915,Delaware,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),131,14.2
916,Delaware,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),20,2.2
919,Delaware,2013,Alcohol-induced causes,All other alcohol-induced causes,47,5.1
921,Delaware,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),152,16.2
922,Delaware,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,2.7
925,Delaware,2014,Alcohol-induced causes,All other alcohol-induced causes,75,8.0
927,Delaware,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),169,17.9
931,Delaware,2015,Alcohol-induced causes,All other alcohol-induced causes,75,7.9
933,Delaware,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),264,27.7
935,Delaware,2016,Alcohol-induced causes,All other alcohol-induced causes,100,10.5
937,Delaware,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),319,33.2
940,Delaware,2017,Alcohol-induced causes,All other alcohol-induced causes,93,9.7
942,District of Columbia,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),47,8.2
943,District of Columbia,1999,Alcohol-induced causes,All other alcohol-induced causes,77,13.5
945,District of Columbia,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),70,12.2
946,District of Columbia,2000,Alcohol-induced causes,All other alcohol-induced causes,113,19.8
948,District of Columbia,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),85,14.8
950,District of Columbia,2001,Alcohol-induced causes,All other alcohol-induced causes,113,19.7
952,District of Columbia,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),54,9.4
953,District of Columbia,2002,Alcohol-induced causes,All other alcohol-induced causes,117,20.4
955,District of Columbia,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),90,15.8
957,District of Columbia,2003,Alcohol-induced causes,All other alcohol-induced causes,102,17.9
959,District of Columbia,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),70,12.3
961,District of Columbia,2004,Drug-induced causes,All other drug-induced causes,22,3.9
962,District of Columbia,2004,Alcohol-induced causes,All other alcohol-induced causes,109,19.2
964,District of Columbia,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),51,9.0
967,District of Columbia,2005,Alcohol-induced causes,All other alcohol-induced causes,83,14.6
969,District of Columbia,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),85,14.9
970,District of Columbia,2006,Drug-induced causes,All other drug-induced causes,28,4.9
971,District of Columbia,2006,Alcohol-induced causes,All other alcohol-induced causes,82,14.4
973,District of Columbia,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),38,6.6
976,District of Columbia,2007,Drug-induced causes,All other drug-induced causes,29,5.0
977,District of Columbia,2007,Alcohol-induced causes,All other alcohol-induced causes,56,9.7
979,District of Columbia,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),36,6.2
981,District of Columbia,2008,Drug-induced causes,All other drug-induced causes,21,3.6
982,District of Columbia,2008,Alcohol-induced causes,All other alcohol-induced causes,66,11.4
986,District of Columbia,2009,Drug-induced causes,All other drug-induced causes,32,5.4
987,District of Columbia,2009,Alcohol-induced causes,All other alcohol-induced causes,48,8.1
989,District of Columbia,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),61,10.1
992,District of Columbia,2010,Alcohol-induced causes,All other alcohol-induced causes,78,13.0
994,District of Columbia,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),64,10.4
996,District of Columbia,2011,Alcohol-induced causes,All other alcohol-induced causes,69,11.2
998,District of Columbia,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),61,9.6
1000,District of Columbia,2012,Alcohol-induced causes,All other alcohol-induced causes,70,11.1
1002,District of Columbia,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),77,11.9
1006,District of Columbia,2013,Alcohol-induced causes,All other alcohol-induced causes,60,9.3
1008,District of Columbia,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),80,12.1
1011,District of Columbia,2014,Alcohol-induced causes,All other alcohol-induced causes,56,8.5
1013,District of Columbia,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),114,17.0
1015,District of Columbia,2015,Alcohol-induced causes,All other alcohol-induced causes,70,10.4
1017,District of Columbia,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),241,35.4
1018,District of Columbia,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,2.9
1020,District of Columbia,2016,Alcohol-induced causes,All other alcohol-induced causes,68,10.0
1022,District of Columbia,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),287,41.4
1025,District of Columbia,2017,Alcohol-induced causes,All other alcohol-induced causes,59,8.5
1027,Florida,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),681,4.3
1028,Florida,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),267,1.7
1029,Florida,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),49,0.3
1030,Florida,1999,Drug-induced causes,All other drug-induced causes,64,0.4
1032,Florida,1999,Alcohol-induced causes,All other alcohol-induced causes,1268,8.0
1034,Florida,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),823,5.1
1035,Florida,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),279,1.7
1036,Florida,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),55,0.3
1037,Florida,2000,Drug-induced causes,All other drug-induced causes,78,0.5
1039,Florida,2000,Alcohol-induced causes,All other alcohol-induced causes,1322,8.3
1041,Florida,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1295,7.9
1042,Florida,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),382,2.3
1043,Florida,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),65,0.4
1044,Florida,2001,Drug-induced causes,All other drug-induced causes,87,0.5
1045,Florida,2001,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",24,0.1
1046,Florida,2001,Alcohol-induced causes,All other alcohol-induced causes,1384,8.5
1048,Florida,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1466,8.8
1049,Florida,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),374,2.2
1050,Florida,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),87,0.5
1051,Florida,2002,Drug-induced causes,All other drug-induced causes,114,0.7
1052,Florida,2002,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",29,0.2
1053,Florida,2002,Alcohol-induced causes,All other alcohol-induced causes,1395,8.4
1055,Florida,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1670,9.8
1056,Florida,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),332,2.0
1057,Florida,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),50,0.3
1058,Florida,2003,Drug-induced causes,All other drug-induced causes,99,0.6
1059,Florida,2003,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",23,0.1
1060,Florida,2003,Alcohol-induced causes,All other alcohol-induced causes,1462,8.6
1062,Florida,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1789,10.3
1063,Florida,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),401,2.3
1064,Florida,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),70,0.4
1065,Florida,2004,Drug-induced causes,All other drug-induced causes,144,0.8
1067,Florida,2004,Alcohol-induced causes,All other alcohol-induced causes,1506,8.6
1069,Florida,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1917,10.7
1070,Florida,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),367,2.1
1071,Florida,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),86,0.5
1072,Florida,2005,Drug-induced causes,All other drug-induced causes,293,1.6
1073,Florida,2005,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.1
1074,Florida,2005,Alcohol-induced causes,All other alcohol-induced causes,1590,8.9
1076,Florida,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2097,11.5
1077,Florida,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),408,2.2
1078,Florida,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),84,0.5
1079,Florida,2006,Drug-induced causes,All other drug-induced causes,337,1.9
1080,Florida,2006,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",24,0.1
1081,Florida,2006,Alcohol-induced causes,All other alcohol-induced causes,1722,9.5
1083,Florida,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2337,12.7
1084,Florida,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),389,2.1
1085,Florida,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),65,0.4
1086,Florida,2007,Drug-induced causes,All other drug-induced causes,142,0.8
1087,Florida,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",63,0.3
1088,Florida,2007,Alcohol-induced causes,All other alcohol-induced causes,1707,9.3
1090,Florida,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2399,12.9
1091,Florida,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),465,2.5
1092,Florida,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),96,0.5
1093,Florida,2008,Drug-induced causes,All other drug-induced causes,134,0.7
1094,Florida,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",109,0.6
1095,Florida,2008,Alcohol-induced causes,All other alcohol-induced causes,1656,8.9
1097,Florida,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2509,13.5
1098,Florida,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),465,2.5
1099,Florida,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),117,0.6
1100,Florida,2009,Drug-induced causes,All other drug-induced causes,101,0.5
1101,Florida,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",96,0.5
1102,Florida,2009,Alcohol-induced causes,All other alcohol-induced causes,1592,8.5
1104,Florida,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2529,13.5
1105,Florida,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),448,2.4
1106,Florida,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),82,0.4
1107,Florida,2010,Drug-induced causes,All other drug-induced causes,120,0.6
1108,Florida,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",102,0.5
1109,Florida,2010,Alcohol-induced causes,All other alcohol-induced causes,1649,8.8
1111,Florida,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2399,12.6
1112,Florida,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),448,2.4
1113,Florida,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),69,0.4
1114,Florida,2011,Drug-induced causes,All other drug-induced causes,115,0.6
1115,Florida,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",104,0.5
1116,Florida,2011,Alcohol-induced causes,All other alcohol-induced causes,1754,9.2
1118,Florida,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2048,10.6
1119,Florida,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),475,2.5
1120,Florida,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),71,0.4
1121,Florida,2012,Drug-induced causes,All other drug-induced causes,100,0.5
1122,Florida,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",111,0.6
1123,Florida,2012,Alcohol-induced causes,All other alcohol-induced causes,1852,9.6
1125,Florida,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1978,10.1
1126,Florida,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),427,2.2
1127,Florida,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),64,0.3
1128,Florida,2013,Drug-induced causes,All other drug-induced causes,129,0.7
1129,Florida,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",98,0.5
1130,Florida,2013,Alcohol-induced causes,All other alcohol-induced causes,1972,10.1
1132,Florida,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2166,10.9
1133,Florida,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),462,2.3
1134,Florida,2014,Drug-induced causes,All other drug-induced causes,170,0.9
1135,Florida,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",116,0.6
1136,Florida,2014,Alcohol-induced causes,All other alcohol-induced causes,2250,11.3
1138,Florida,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2772,13.7
1139,Florida,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),446,2.2
1140,Florida,2015,Drug-induced causes,All other drug-induced causes,149,0.7
1141,Florida,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",106,0.5
1142,Florida,2015,Alcohol-induced causes,All other alcohol-induced causes,2383,11.8
1144,Florida,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),4232,20.5
1145,Florida,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),419,2.0
1146,Florida,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),73,0.4
1147,Florida,2016,Drug-induced causes,All other drug-induced causes,235,1.1
1148,Florida,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",120,0.6
1149,Florida,2016,Alcohol-induced causes,All other alcohol-induced causes,2541,12.3
1151,Florida,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),4603,21.9
1152,Florida,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),404,1.9
1153,Florida,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),79,0.4
1154,Florida,2017,Drug-induced causes,All other drug-induced causes,259,1.2
1155,Florida,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",123,0.6
1156,Florida,2017,Alcohol-induced causes,All other alcohol-induced causes,2475,11.8
1158,Georgia,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),219,2.7
1159,Georgia,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),50,0.6
1161,Georgia,1999,Drug-induced causes,All other drug-induced causes,64,0.8
1162,Georgia,1999,Alcohol-induced causes,All other alcohol-induced causes,469,5.8
1164,Georgia,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),268,3.3
1165,Georgia,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),75,0.9
1166,Georgia,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),21,0.3
1167,Georgia,2000,Drug-induced causes,All other drug-induced causes,65,0.8
1168,Georgia,2000,Alcohol-induced causes,All other alcohol-induced causes,482,5.9
1170,Georgia,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),402,4.8
1171,Georgia,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.0
1172,Georgia,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,0.3
1173,Georgia,2001,Drug-induced causes,All other drug-induced causes,80,1.0
1175,Georgia,2001,Alcohol-induced causes,All other alcohol-induced causes,488,5.8
1177,Georgia,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),457,5.4
1178,Georgia,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),77,0.9
1179,Georgia,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.3
1180,Georgia,2002,Drug-induced causes,All other drug-induced causes,68,0.8
1182,Georgia,2002,Alcohol-induced causes,All other alcohol-induced causes,502,5.9
1184,Georgia,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),505,5.9
1185,Georgia,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),65,0.8
1186,Georgia,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),36,0.4
1187,Georgia,2003,Drug-induced causes,All other drug-induced causes,77,0.9
1188,Georgia,2003,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",20,0.2
1189,Georgia,2003,Alcohol-induced causes,All other alcohol-induced causes,485,5.6
1191,Georgia,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),557,6.4
1192,Georgia,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),70,0.8
1193,Georgia,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),37,0.4
1194,Georgia,2004,Drug-induced causes,All other drug-induced causes,64,0.7
1196,Georgia,2004,Alcohol-induced causes,All other alcohol-induced causes,543,6.2
1198,Georgia,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),639,7.2
1199,Georgia,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),78,0.9
1200,Georgia,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.2
1201,Georgia,2005,Drug-induced causes,All other drug-induced causes,82,0.9
1203,Georgia,2005,Alcohol-induced causes,All other alcohol-induced causes,495,5.5
1205,Georgia,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),717,7.8
1206,Georgia,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),71,0.8
1207,Georgia,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),40,0.4
1208,Georgia,2006,Drug-induced causes,All other drug-induced causes,82,0.9
1210,Georgia,2006,Alcohol-induced causes,All other alcohol-induced causes,486,5.3
1212,Georgia,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),800,8.6
1213,Georgia,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),85,0.9
1214,Georgia,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),38,0.4
1215,Georgia,2007,Drug-induced causes,All other drug-induced causes,50,0.5
